x,y,chunk_id,interaction_id,chunk_type,intent,channel,outcome,text_preview,method
10.012325286865234,8.959454536437988,int_1_full,1,interaction,card_replacement,cora,resolved,"[Channel: cora] [Start: 2026-02-01 09:15:22.001] CORA: hi claire, im cora your digital assistant, i can help with all so",UMAP
9.79085922241211,8.349169731140137,int_1_win_0,1,turn_window,card_replacement,cora,resolved,"CUSTOMER: i need a new debit card CORA: okay, i can help with that. before i order a new card, i need to confirm: has yo",UMAP
10.081812858581543,8.174431800842285,int_1_win_1,1,turn_window,card_replacement,cora,resolved,CUSTOMER: lost CORA: sorry to hear that. ive locked your card to prevent any unauthorised use. would you like me to orde,UMAP
10.290047645568848,8.658564567565918,int_1_win_2,1,turn_window,card_replacement,cora,resolved,"CUSTOMER: yes CORA: great, a new debit card will be sent to your registered home address within 3-5 working days. did i ",UMAP
9.49230670928955,12.704949378967285,int_2_full,2,interaction,balance_enquiry,webchat,resolved,"[Channel: webchat] [Start: 2026-02-10 14:30:00.500] CORA: hi claire, im cora, your digital assistant. i can help with al",UMAP
9.047449111938477,12.95588493347168,int_2_win_0,2,turn_window,balance_enquiry,webchat,resolved,"CUSTOMER: what's my balance? CORA: for security, i cant display account balances directly in this chat. you can check yo",UMAP
8.791921615600586,12.770820617675781,int_2_win_1,2,turn_window,balance_enquiry,webchat,resolved,"CUSTOMER: show me CORA: to view your balance, please log in to your mobile app. the balance is shown on the main dashboa",UMAP
11.180656433105469,10.335062980651855,int_2_win_2,2,turn_window,general_enquiry,webchat,resolved,"CUSTOMER: yes CORA: great! did i answer your question? CUSTOMER: yes CORA: okay, please come back any time and i would b",UMAP
8.952954292297363,10.6832275390625,int_3_full,3,interaction,password_reset,cora,resolved,"[Channel: cora] [Start: 2026-02-18 11:05:33.210] CORA: hi claire, im cora your digital assistant, i can help with all so",UMAP
8.32807445526123,11.280406951904297,int_3_win_0,3,turn_window,password_reset,cora,resolved,CUSTOMER: forgot my online banking password CORA: no problem. you can easily reset your password online. are you a: plea,UMAP
8.361576080322266,10.882620811462402,int_3_win_1,3,turn_window,password_reset,cora,resolved,CUSTOMER: personal customer CORA: have you registered for online banking before? please select an option: CUSTOMER: yes ,UMAP
8.2124662399292,10.5563325881958,int_3_win_2,3,turn_window,password_reset,cora,resolved,CUSTOMER: yes CORA: perfect. click the 'forgotten password' link on the login page and follow the instructions. a reset ,UMAP
9.555948257446289,12.258920669555664,int_4_full,4,interaction,savings_account,webchat,handoff,"[Channel: webchat] [Start: 2026-02-25 16:45:12.007] CORA: hi claire, im cora, your digital assistant. i can help with al",UMAP
9.2355375289917,11.89706802368164,int_4_win_0,4,turn_window,savings_account,webchat,handoff,"CUSTOMER: i want to open a savings account CORA: okay, lets find the right savings account for you. are you looking to o",UMAP
8.977611541748047,12.105215072631836,int_4_win_1,4,turn_window,savings_account,webchat,handoff,CUSTOMER: personal customer CORA: you can view and apply for our range of savings accounts directly in online banking or,UMAP
9.730817794799805,8.90971565246582,int_5_full,5,interaction,card_replacement,cora,resolved,"[Channel: cora] [Start: 2026-03-02 08:20:45.980] CORA: hi claire, im cora your digital assistant, i can help with all so",UMAP
9.550464630126953,8.411513328552246,int_5_win_0,5,turn_window,card_replacement,cora,resolved,"CUSTOMER: my card doesnt work CORA: im sorry to hear that. first, lets check if your card is locked. i can see your main",UMAP
9.282000541687012,8.748517036437988,int_5_win_1,5,turn_window,card_replacement,cora,resolved,CUSTOMER: atm took it CORA: oh dear. it sounds like your card may have been retained by the machine. youll need to order,UMAP
9.21684741973877,9.248392105102539,int_5_win_2,5,turn_window,general_enquiry,cora,resolved,"CUSTOMER: yes CORA: okay, a new card is on its way to your home address. in the meantime, you can use the mobile app for",UMAP
9.998678207397461,13.001198768615723,int_6_full,6,interaction,direct_debit,webchat,resolved,"[Channel: webchat] [Start: 2026-03-08 13:55:00.000] CORA: hi claire, im cora, your digital assistant. i can help with al",UMAP
9.796534538269043,13.34532356262207,int_6_win_0,6,turn_window,direct_debit,webchat,resolved,"CUSTOMER: how do i set up a direct debit? CORA: to set up a direct debit, youll need to provide the company you want to ",UMAP
9.265277862548828,13.362552642822266,int_6_win_1,6,turn_window,direct_debit,webchat,resolved,"CUSTOMER: what are my details? CORA: for security, i cant share account details in this chat. you can view your sort cod",UMAP
10.263772010803223,10.004212379455566,int_7_full,7,interaction,fraud_alert,cora,resolved,"[Channel: cora] [Start: 2026-03-12 10:10:17.330] CORA: hi claire, im cora your digital assistant, i can help with all so",UMAP
10.125041007995605,9.57883358001709,int_7_win_0,7,turn_window,fraud_alert,cora,resolved,CUSTOMER: traveling abroad CORA: going somewhere nice? please let me know what you need help with regarding your trip: p,UMAP
10.340907096862793,9.573995590209961,int_7_win_1,7,turn_window,fraud_alert,cora,resolved,"CUSTOMER: use my card CORA: you can use your card abroad, but please let us know your travel dates so we can help ensure",UMAP
10.936768531799316,9.726073265075684,int_8_full,8,interaction,fraud_alert,webchat,resolved,"[Channel: webchat] [Start: 2026-03-15 09:30:45.111] CORA: hi claire, im cora, your digital assistant. i can help with al",UMAP
10.801517486572266,9.46454906463623,int_8_win_0,8,turn_window,fraud_alert,webchat,resolved,CUSTOMER: i have a suspicious text message CORA: please do not click any links or share any information. it's very impor,UMAP
11.184228897094727,9.835855484008789,int_8_win_1,8,turn_window,fraud_alert,webchat,resolved,"CUSTOMER: no CORA: okay, but please stay vigilant. forward the text to 7726 and delete it. did i answer your question? p",UMAP
10.016045570373535,10.553277015686035,int_9_full,9,interaction,branch_locator,cora,resolved,"[Channel: cora] [Start: 2026-03-17 15:20:33.990] CORA: hi claire, im cora your digital assistant, i can help with all so",UMAP
10.034733772277832,10.969890594482422,int_9_win_0,9,turn_window,branch_locator,cora,resolved,"CUSTOMER: find my nearest branch CORA: i can help with that. to find your nearest branch, please enable location service",UMAP
10.300947189331055,10.82725715637207,int_9_win_1,9,turn_window,branch_locator,cora,resolved,"CUSTOMER: send link CORA: great, i have sent the link to our branch locator to this chat. you can click it to find branc",UMAP
10.35246467590332,12.180340766906738,int_10_full,10,interaction,mortgage,webchat,handoff,"[Channel: webchat] [Start: 2026-03-18 12:00:02.500] CORA: hi claire, im cora, your digital assistant. i can help with al",UMAP
10.32968807220459,11.793074607849121,int_10_win_0,10,turn_window,mortgage,webchat,handoff,"CUSTOMER: i need a mortgage CORA: okay, i can help with initial mortgage information. would you like to: please select a",UMAP
10.562902450561523,11.961386680603027,int_10_win_1,10,turn_window,mortgage,webchat,handoff,CUSTOMER: speak to someone CORA: id be happy to arrange that for you. our mortgage advisors are available Monday to Frid,UMAP
11.37147045135498,12.78616714477539,int_11_full,11,interaction,password_reset,cora,resolved,"[Channel: cora] [Start: 2026-01-05 16:30:51.110] CORA: hi claire, im cora your digital assistant, i can help with all so",UMAP
12.604829788208008,13.805384635925293,int_11_win_0,11,turn_window,address_change,cora,resolved,"CUSTOMER: how to change address CORA: okay, would you like to change the address for your: please select an option: CUST",UMAP
11.759044647216797,13.66041374206543,int_11_win_1,11,turn_window,password_reset,cora,resolved,"CUSTOMER: personal & business CORA: okay, let's start by updating your personal address. i can see you need help changin",UMAP
11.707663536071777,13.047969818115234,int_11_win_2,11,turn_window,password_reset,cora,resolved,"CUSTOMER: online banking CORA: great, youll need to close this chat by clicking the 3 dots and end conversation, then lo",UMAP
11.116393089294434,13.250350952148438,int_12_full,12,interaction,password_reset,webchat,resolved,"[Channel: webchat] [Start: 2026-01-15 06:31:21.432] CORA: hi claire, im cora, your digital assistant. i can help with al",UMAP
12.232511520385742,13.681357383728027,int_12_win_0,12,turn_window,address_change,webchat,resolved,"CUSTOMER: change my address CORA: okay, would you like to change the address for your: please select an option: CUSTOMER",UMAP
